Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,-0.02965432381053274,8.573392319037023,-106.597016542323
1.063326571637162,-0.03080797758221884,9.063746894761994,-107.4844793367705
1.130663397949639,-0.02953371870495764,9.544997273993745,-108.4296551898897
1.202264434617413,-0.03023468768266827,10.02335246366824,-109.4149274713259
1.278399719463023,-0.02931650959525108,10.4939410419692,-110.4772285572785
1.359356390878526,-0.0318559511308668,10.96027942162928,-111.5863085217411
1.445439770745928,-0.03006584370472994,11.41847559267678,-112.7456640526355
1.536974515935271,-0.0279903044361339,11.86778535866516,-113.9601874691493
1.634305842723138,-0.02683107725668501,12.30885507870632,-115.2195566123284
1.737800828749376,-0.02884435781082209,12.74425594185064,-116.5474887890588
1.847849797422291,-0.02696506620802103,13.16611071257846,-117.8980223115229
1.964867789993468,-0.02792684921519938,13.58032444883527,-119.3129112056718
2.089296130854039,-0.0259089028488513,13.97877198782857,-120.7823307361083
2.221604091955812,-0.02731571787249017,14.36679257299891,-122.3106364587108
2.362290662634463,-0.02771130777588346,14.74515802368849,-123.8682440595246
2.51188643150958,-0.02777013503187223,15.10825408362074,-125.4465839868345
2.670955587558986,-0.02699409731339391,15.45767731040374,-127.0859241531648
2.840098047914214,-0.02691591878251862,15.7905866363363,-128.7353645471303
3.019951720402016,-0.0280048862642732,16.11025098769991,-130.4310202803954
3.211194909364824,-0.02710366859295548,16.41335554898647,-132.1293594605083
3.414548873833601,-0.02680730831809028,16.70009242051229,-133.8556476584446
3.630780547701014,-0.0281631156585944,16.97258075065122,-135.5638257454469
3.860705432153815,-0.02767709017406324,17.22858812296181,-137.3003997660795
4.105190671273078,-0.02634196021561949,17.46780235368409,-138.9960385969185
4.365158322401661,-0.02783918229836699,17.6926165369002,-140.7112054932623
4.641588833612778,-0.02721928494628432,17.90003400710911,-142.4109367083932
4.935524741394807,-0.02766755464509833,18.09521589987178,-144.060538579363
5.248074602497723,-0.02801334902014686,18.27564974851842,-145.710634076968
5.580417174769964,-0.02820720013649079,18.44130862406226,-147.293452729955
5.933805862753281,-0.02684650269063064,18.59009448333725,-148.8634631888633
6.30957344480193,-0.02858559178763655,18.73392379998468,-150.3882814495716
6.709137099554112,-0.02740528995361856,18.85720033970654,-151.8639385199981
7.134003750712565,-0.02782407144195498,18.97135232050248,-153.3143626656337
7.585775750291837,-0.02722459177014458,19.07607144131974,-154.6572507015864
8.066156921766135,-0.02691616729900455,19.17245392875714,-156.0053440723498
8.576958985908947,-0.02757976932454382,19.25812903389848,-157.284784567149
9.120108393559097,-0.02707100251963919,19.33625966338507,-158.5075681585748
9.697653591082496,-0.02705955663826949,19.40583179851468,-159.6753038429696
10.31177274593056,-0.02749259478107897,19.46100911607313,-160.8348335656761
10.96478196143185,-0.02759286290644864,19.52900469924107,-161.8681869576772
11.65914401179831,-0.02705559256116064,19.57700119587478,-162.8813489084481
12.39747763028944,-0.02865872570879487,19.62344105578358,-163.8547419745521
13.18256738556408,-0.02672142250028318,19.67521606591442,-164.7456611168375
14.01737418346769,-0.02767663802005535,19.70438815403145,-165.6744285134048
14.90504643386196,-0.02745141431182125,19.73014166536325,-166.5049769313599
15.84893192461114,-0.02746053761186015,19.76316737796876,-167.2949510301576
16.85259044750751,-0.02823686971274728,19.78789136046814,-168.0475929944877
17.91980722375334,-0.02779404386105246,19.81209187987349,-168.7408016057529
19.05460717963248,-0.0286184953453801,19.83632627901934,-169.4283303223479
20.26127012621143,-0.02728603219435165,19.85313487173121,-170.0704722937711
21.54434690031882,-0.02710829645455159,19.86875675521098,-170.6666811319251
22.90867652767774,-0.02825918816537243,19.88438713304094,-171.2378243628048
24.35940447292027,-0.02876049401042532,19.89930937810127,-171.7773197711768
25.90200204531322,-0.02842536584141815,19.91022224028777,-172.2904429552938
27.54228703338166,-0.02791565717499261,19.92033663134286,-172.781261483153
29.28644564625237,-0.02780154609700785,19.92990684693045,-173.2600529627101
31.14105584446758,-0.02748747884902979,19.93835136083237,-173.6971362794956
33.11311214825911,-0.02804075281587239,19.94554462544684,-174.1123463230628
35.21005201684521,-0.02803911340559092,19.9521405162089,-174.5130099741576
37.4397838982381,-0.02629007516512534,19.95717127892502,-174.8901587623463
39.81071705534973,-0.02728874856597517,19.96348727392813,-175.2342110838277
42.33179328088211,-0.02850418656310974,19.96736693144235,-175.5807785026273
45.01252062061337,-0.03001732898245328,19.97249489085826,-175.9155788216937
47.8630092322638,-0.02834028736241158,19.97661156285421,-176.2167252565795
50.89400951518093,-0.02782816507718215,19.97972975452242,-176.5147359174302
54.11695265464638,-0.02569047728090695,19.98067260951451,-176.8164669057528
57.54399373371567,-0.02843403653192045,19.98437664135092,-177.080225140015
61.18805757518219,-0.02839772504964343,19.98656604050476,-177.3462359619539
65.06288748655574,-0.02760732371967881,19.98808819806599,-177.5861758354296
69.18309709189363,-0.02812561169185846,19.99084672852348,-177.8356341007266
73.56422544596414,-0.02593811336744264,19.99061913797046,-178.0687421040384
78.22279563860029,-0.02785565353100167,19.99237199497887,-178.3012048155249
83.17637711026708,-0.02595569913666127,19.99288853159576,-178.5241722555802
88.44365191385999,-0.02838212743088153,19.99667298011216,-178.7343655309917
94.04448517263523,-0.0266926642742703,19.99604314289929,-178.9536735036959
100,-0.02692926833524451,19.99594572291801,-179.1458092822345
106.3326571637162,-0.02797489968858495,19.99808445160543,-179.3556058740777
113.0663397949639,-0.02722135701615028,19.99812430067704,-179.5606868942681
120.2264434617413,-0.02734376320025704,19.9981303172248,-179.7591652215908
127.8399719463023,-0.02684273657206173,19.99775234059285,-179.9600840953747
135.9356390878525,-0.0275165897459362,19.99824602127676,179.8424446689819
144.5439770745928,-0.02583699876063738,19.99656731917626,179.6364312730676
153.6974515935271,-0.03054834174296219,20.00010554902599,179.4308913407308
163.4305842723138,-0.02475267779611629,19.99620097938052,179.2163071550105
173.7800828749376,-0.02939852495966103,19.99797344026625,179.0279957315632
184.7849797422291,-0.02709102980919493,19.99817923758349,178.8164056800051
196.4867789993468,-0.02833048954134646,19.99658199942501,178.5867508283336
208.9296130854038,-0.02371114080502425,19.9946585296416,178.3708001746174
222.1604091955812,-0.0279066367357906,19.99453270674301,178.1458702459011
236.2290662634463,-0.03007475349085341,19.99308783709176,177.9115238146939
251.1886431509579,-0.0299689700871297,19.99284951646573,177.6548512735072
267.0955587558985,-0.03011146158973575,19.99026930854182,177.4303723395583
284.0098047914214,-0.02577215075459171,19.98911481956252,177.1686535311687
301.9951720402016,-0.03008836735295326,19.98583846984465,176.8910996252758
321.1194909364824,-0.02891785099665023,19.98438838996971,176.6102591078328
341.4548873833601,-0.02697877459050816,19.98151610367087,176.3109923517697
363.0780547701014,-0.02405884994959628,19.97797918123239,175.9929670754162
386.0705432153811,-0.02794447658449774,19.97462016185295,175.6831505738107
410.5190671273078,-0.02703909143247192,19.97060378146921,175.3535960717087
