Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,-0.02375879765627401,8.605387348028309,-107.0675268951328
1.066204738694535,-0.02525746828137898,9.120933995121618,-107.9786228581745
1.136792544814681,-0.02518630878051017,9.619889516719061,-108.960857190356
1.212053598194032,-0.02565114181092454,10.12169531406122,-109.9876014694008
1.292297289946236,-0.02396475210083668,10.60787635009929,-111.082451808412
1.377853494342785,-0.02488786454987429,11.09259807873731,-112.2393403809082
1.4690739248951,-0.02281662842564797,11.56522592815429,-113.4474270865403
1.566333580215733,-0.02632846826303237,12.03564900123944,-114.715406687394
1.670032285602391,-0.02447761241375194,12.49235371217487,-116.0435792893616
1.780596336682134,-0.02581816894535626,12.93979077142099,-117.4621951345475
1.898480251872618,-0.02466031041728513,13.37911389312973,-118.9006623369773
2.024168640864581,-0.02642646907734817,13.80214967252988,-120.3920389218704
2.15817819680669,-0.02583054987329919,14.21407502547923,-121.9412914217035
2.301059820382519,-0.02674298398496743,14.60906809381607,-123.5456903404224
2.453400884511437,-0.02514328802202925,14.99132309846081,-125.1883067172685
2.615827648983454,-0.02512601037312676,15.3596022145983,-126.8885752343674
2.789007834954346,-0.02498454182303511,15.71088723270071,-128.6234881804118
2.973653369884505,-0.02627318501002626,16.04787167307905,-130.3598472003397
3.170523314205831,-0.02507801292104602,16.36402855729273,-132.1436637109516
3.380426981747759,-0.02618297980684378,16.66767283710986,-133.9329976393367
3.604227266750324,-0.02468836257669999,16.95035202199502,-135.7333579572395
3.842844191141247,-0.02729602178450416,17.22178391323404,-137.5362979038265
4.097258686659564,-0.02669377125482294,17.46932414183184,-139.3291768362154
4.368516627373768,-0.02643268262040658,17.70122074630105,-141.1073262242962
4.657733129171778,-0.02666595507372703,17.91679073735827,-142.8863819861233
4.966097133897473,-0.02532988481123142,18.11086000022679,-144.5981916544126
5.294876296978833,-0.02468620627788878,18.29692891237096,-146.3066840787263
5.645422198640197,-0.02509017966491587,18.46872487170075,-147.9483493977737
6.019175900121497,-0.02681573262824506,18.62117933454873,-149.5971849807159
6.417673867745488,-0.02632655783637579,18.76005688537249,-151.1825240175651
6.842554289186315,-0.02590613053301755,18.88981842075483,-152.6985399250082
7.295563807905062,-0.02663158625084744,19.00440146370984,-154.1861508966592
7.778564703436721,-0.02536372451292812,19.10910885292748,-155.5940320578114
8.293542547046272,-0.02496064396711246,19.20377351100302,-156.9608874281793
8.842614364225486,-0.02556373191582118,19.28251993894593,-158.3056671620989
9.428037337585573,-0.026420882439472,19.36509306799195,-159.5339988872857
